<PWAVE-TN336_TC15-16-0>
<PWAVE SAMPLE POINT>
Depth In Core=0.00
Depth In Section=0.00
SBD=0.00
Core ID=TN336_TC15-16
Section Number=cal
Section Length=63.80
Comments=Core TN336_TC15-16 logged at 19:27:58 on 01-21-2016
TOT=97.23
TX Level (Volts)=114
P-Wave Amp Gain=270.22
Delay=80.00
Gate=52.00
Date=1/21/2016
Time=19:31:31
</PWAVE SAMPLE POINT>
<PWAVE DATA>
Time (탎),Voltage (mV)
93.68,0.044
93.76,0.049
93.84,0.053
93.92,0.057
94.00,0.062
94.08,0.064
94.16,0.066
94.24,0.065
94.32,0.065
94.40,0.062
94.48,0.058
94.56,0.052
94.64,0.044
94.72,0.035
94.80,0.024
94.88,0.011
94.96,-0.007
95.04,-0.033
95.12,-0.056
95.20,-0.081
95.28,-0.107
95.36,-0.134
95.44,-0.165
95.52,-0.196
95.60,-0.226
95.68,-0.257
95.76,-0.289
95.84,-0.317
95.92,-0.343
96.00,-0.365
96.08,-0.384
96.16,-0.398
96.24,-0.407
96.32,-0.411
96.40,-0.408
96.48,-0.398
96.56,-0.383
96.64,-0.360
96.72,-0.329
96.80,-0.292
96.88,-0.247
96.96,-0.199
97.04,-0.148
97.12,-0.093
97.20,-0.036
97.28,0.046
97.36,0.151
97.44,0.255
97.52,0.360
97.60,0.444
97.68,0.512
97.76,0.577
97.84,0.648
97.92,0.718
98.00,0.783
98.08,0.846
98.16,0.902
98.24,0.947
98.32,0.981
98.40,1.007
98.48,1.018
98.56,1.016
98.64,1.001
98.72,0.974
98.80,0.935
98.88,0.878
98.96,0.813
99.04,0.737
99.12,0.656
99.20,0.566
99.28,0.443
99.36,0.286
99.44,0.163
99.52,0.059
99.60,-0.172
99.68,-0.394
99.76,-0.596
99.84,-0.792
99.92,-0.967
100.00,-1.130
100.08,-1.278
100.16,-1.406
100.24,-1.517
100.32,-1.615
100.40,-1.692
100.48,-1.746
100.56,-1.775
100.64,-1.781
100.72,-1.763
100.80,-1.719
100.88,-1.651
100.96,-1.560
101.04,-1.444
101.12,-1.321
101.20,-1.163
101.28,-0.996
101.36,-0.813
101.44,-0.624
101.52,-0.438
101.60,-0.252
101.68,-0.110
101.76,0.033
101.84,0.379
101.92,0.547
102.00,0.711
102.08,0.892
102.16,1.058
102.24,1.199
102.32,1.321
102.40,1.414
102.48,1.487
102.56,1.537
102.64,1.564
102.72,1.564
102.80,1.540
102.88,1.490
102.96,1.420
103.04,1.338
103.12,1.229
103.20,1.103
103.28,0.969
103.36,0.828
103.44,0.684
103.52,0.539
103.60,0.307
103.68,0.151
103.76,0.019
103.84,-0.315
103.92,-0.560
104.00,-0.783
104.08,-0.973
104.16,-1.128
104.24,-1.258
104.32,-1.359
104.40,-1.429
104.48,-1.475
104.56,-1.493
104.64,-1.484
104.72,-1.447
104.80,-1.386
104.88,-1.302
104.96,-1.186
105.04,-1.054
105.12,-0.900
105.20,-0.734
105.28,-0.557
105.36,-0.391
105.44,-0.224
105.52,-0.093
105.60,0.069
105.68,0.369
105.76,0.527
105.84,0.668
105.92,0.815
106.00,0.952
106.08,1.064
106.16,1.155
106.24,1.221
106.32,1.264
106.40,1.281
106.48,1.273
106.56,1.242
106.64,1.188
106.72,1.115
106.80,1.021
106.88,0.913
106.96,0.794
107.04,0.671
107.12,0.540
107.20,0.335
107.28,0.172
107.36,0.055
107.44,-0.256
107.52,-0.507
107.60,-0.742
107.68,-0.949
107.76,-1.120
107.84,-1.271
107.92,-1.392
108.00,-1.484
108.08,-1.555
108.16,-1.597
108.24,-1.611
108.32,-1.594
108.40,-1.548
108.48,-1.473
108.56,-1.380
108.64,-1.257
108.72,-1.108
108.80,-0.942
108.88,-0.761
108.96,-0.566
109.04,-0.387
109.12,-0.207
109.20,-0.078
109.28,0.169
109.36,0.442
109.44,0.596
109.52,0.774
109.60,0.949
109.68,1.104
109.76,1.235
109.84,1.339
109.92,1.414
110.00,1.466
110.08,1.491
110.16,1.491
110.24,1.465
110.32,1.413
110.40,1.346
110.48,1.248
110.56,1.130
110.64,0.999
110.72,0.860
110.80,0.714
110.88,0.568
110.96,0.344
111.04,0.167
111.12,0.037
111.20,-0.310
111.28,-0.577
111.36,-0.825
111.44,-1.040
111.52,-1.217
111.60,-1.364
111.68,-1.483
111.76,-1.577
111.84,-1.645
111.92,-1.683
112.00,-1.688
112.08,-1.666
112.16,-1.613
112.24,-1.533
112.32,-1.429
112.40,-1.308
112.48,-1.156
112.56,-0.991
112.64,-0.808
112.72,-0.621
112.80,-0.440
112.88,-0.255
112.96,-0.114
113.04,0.011
113.12,0.351
113.20,0.519
113.28,0.662
113.36,0.817
113.44,0.959
113.52,1.075
113.60,1.171
113.68,1.242
113.76,1.290
113.84,1.315
113.92,1.314
114.00,1.294
114.08,1.249
114.16,1.185
114.24,1.106
114.32,1.011
114.40,0.902
114.48,0.788
114.56,0.671
114.64,0.547
114.72,0.367
114.80,0.205
114.88,0.095
114.96,-0.122
115.04,-0.356
115.12,-0.550
115.20,-0.726
115.28,-0.868
115.36,-0.992
115.44,-1.090
115.52,-1.170
115.60,-1.226
115.68,-1.258
115.76,-1.270
115.84,-1.257
115.92,-1.223
116.00,-1.167
116.08,-1.097
116.16,-1.005
116.24,-0.897
116.32,-0.779
116.40,-0.652
116.48,-0.515
116.56,-0.392
116.64,-0.256
116.72,-0.142
116.80,-0.054
116.88,0.143
116.96,0.330
117.04,0.464
117.12,0.554
117.20,0.638
117.28,0.720
117.36,0.790
117.44,0.847
117.52,0.890
117.60,0.918
117.68,0.930
117.76,0.927
117.84,0.910
117.92,0.878
118.00,0.837
118.08,0.784
118.16,0.727
118.24,0.663
118.32,0.591
118.40,0.509
118.48,0.396
118.56,0.289
118.64,0.190
118.72,0.109
118.80,0.018
118.88,-0.126
118.96,-0.244
119.04,-0.355
119.12,-0.442
119.20,-0.503
119.28,-0.561
119.36,-0.607
119.44,-0.639
119.52,-0.655
119.60,-0.661
119.68,-0.655
119.76,-0.638
119.84,-0.609
119.92,-0.569
120.00,-0.523
120.08,-0.476
120.16,-0.424
120.24,-0.364
120.32,-0.298
120.40,-0.232
120.48,-0.175
120.56,-0.117
120.64,-0.065
120.72,-0.002
120.80,0.065
120.88,0.131
120.96,0.186
121.04,0.224
121.12,0.257
121.20,0.278
121.28,0.292
121.36,0.296
121.44,0.293
121.52,0.283
121.60,0.265
121.68,0.241
121.76,0.212
121.84,0.181
121.92,0.146
122.00,0.110
122.08,0.072
122.16,0.031
122.24,-0.015
122.32,-0.067
122.40,-0.114
122.48,-0.160
122.56,-0.195
122.64,-0.225
122.72,-0.251
122.80,-0.273
122.88,-0.287
122.96,-0.293
123.04,-0.292
123.12,-0.285
123.20,-0.272
123.28,-0.253
123.36,-0.229
123.44,-0.203
123.52,-0.172
123.60,-0.137
123.68,-0.101
123.76,-0.063
123.84,-0.020
123.92,0.030
124.00,0.080
124.08,0.135
124.16,0.185
124.24,0.227
124.32,0.271
124.40,0.307
124.48,0.339
124.56,0.366
124.64,0.387
124.72,0.401
