Geotek MSCL 7.9 - TN336_TC4-04.raw created at 22:27:54 on 1/19/2016.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
1.06,1,106,0.37,93.5,0.007,1232,13,20.1,434.1,,1.06,1,106,10.217,0.007,1530.407,1.7719,12.7528,6.7534,2711.728163,0.567343387,0.699
1.07,1,107,0.4,93.81,0.008,1257,12,20.1,432.8,,1.07,1,107,10.22,0.008,1523.781,1.7431,11.7718,6.6392,2656.102661,0.584048724,0.6954
1.08,1,108,0.42,93.85,0.007,1231,12,20.1,431.3,,1.08,1,108,10.222,0.007,1523.171,1.7731,11.7718,6.6304,2700.7345,0.566647332,0.6958
1.09,1,109,0.48,93.71,0.0046,1229,12,20.1,430.4,,1.09,1,109,10.228,0.0046,1527.251,1.7754,11.7718,6.6042,2711.481425,0.565313225,0.7013
1.1,1,110,0.52,93.63,0.0047,1223,12,20.1,429.4,,1.1,1,110,10.232,0.0047,1529.676,1.7825,11.7718,6.7049,2726.64747,0.561194896,0.7064
1.11,1,111,0.53,93.83,0.0059,1246,12,20.1,429.4,,1.11,1,111,10.233,0.0059,1525.265,1.7557,11.7718,6.6129,2677.907761,0.576740139,0.7118
1.12,1,112,0.57,94.18,0.0041,1225,12,20.1,429,,1.12,1,112,10.237,0.0041,1517.942,1.7801,11.7718,7.3066,2702.088554,0.562587007,0.7147
1.13,1,113,0.55,94.04,0.0037,1255,13,20.09,428.2,,1.13,1,113,10.235,0.0037,1520.802,1.7454,12.7528,7.2304,2654.407811,0.582714617,0.7168
1.14,1,114,0.6,93.84,0.0031,1239,13,20.09,427.9,,1.14,1,114,10.24,0.0031,1526.081,1.7638,12.7528,6.6479,2691.701668,0.572041763,0.7202
1.15,1,115,0.58,94.06,0.0032,1233,12,20.1,426,,1.15,1,115,10.238,0.0032,1520.796,1.7708,11.7718,6.6086,2693.025557,0.567981439,0.7223
1.16,1,116,0.59,94.12,0.003,1224,12,20.09,427.6,,1.16,1,116,10.239,0.003,1519.59,1.7813,11.7718,6.5432,2706.845667,0.561890951,0.7249
1.17,1,117,0.59,94.06,0.0025,1209,12,20.1,429.3,,1.17,1,117,10.239,0.0025,1520.945,1.7991,11.7718,7.2351,2736.33215,0.551566125,0.7278
1.18,1,118,0.67,94.18,0.0018,1240,13,20.1,431.5,,1.18,1,118,10.247,0.0018,1519.425,1.7626,12.7528,6.8418,2678.138505,0.572737819,0.7297
1.19,1,119,0.68,94.24,0.0019,1277,12,20.1,424.6,,1.19,1,119,10.248,0.0019,1518.222,1.7206,11.7718,6.6874,2612.252773,0.597099768,0.7316
1.2,1,120,0.73,94.28,0.0016,1242,12,20.1,419.9,,1.2,1,120,10.253,0.0016,1518.063,1.7603,11.7718,6.6304,2672.246299,0.574071926,0.7317
1.21,1,121,0.44,94.21,0.0015,1229,12,20.1,405.6,,1.21,1,121,10.224,0.0015,1515.34,1.7754,11.7718,6.6698,2690.334636,0.565313225,0.7324
1.22,1,122,0.5,94.43,0.0017,1238,12,20.1,407.1,,1.22,1,122,10.23,0.0017,1511.301,1.7649,11.7718,6.7269,2667.295135,0.571403712,0.7341
1.23,1,123,0.54,94.46,0.0016,1251,12,20.1,408.6,,1.23,1,123,10.234,0.0016,1511.223,1.75,11.7718,7.278,2644.64025,0.580046404,0.7346
1.24,1,124,0.53,94.31,0.0014,1249,13,20.1,410.7,,1.24,1,124,10.233,0.0014,1514.429,1.7522,12.7528,6.6786,2653.582494,0.578770302,0.7383
1.25,1,125,0.53,94.46,0.0017,1240,12,20.1,413.3,,1.25,1,125,10.233,0.0017,1511.075,1.7626,11.7718,6.6173,2663.420795,0.572737819,0.7351
1.26,1,126,0.58,94.47,0.0014,1226,12,20.09,415.3,,1.26,1,126,10.238,0.0014,1511.59,1.7789,11.7718,6.6086,2688.967451,0.563283063,0.7318
1.27,1,127,0.68,94.47,0.0013,1224,12,20.1,415.6,,1.27,1,127,10.248,0.0013,1513.067,1.7813,11.7718,6.8729,2695.226247,0.561890951,0.7275
1.28,1,128,0.62,94.36,0.0014,1284,12,20.1,411.2,,1.28,1,128,10.242,0.0014,1514.641,1.7128,11.7718,6.7887,2594.277105,0.60162413,0.7413
1.29,1,129,0.64,94.54,0.0014,1265,12,20.11,407.6,,1.29,1,129,10.244,0.0014,1510.914,1.734,11.7718,6.7931,2619.924876,0.589327146,0.7508
1.3,1,130,1,94.54,0.0008,1266,12,20.1,403,,1.3,1,130,10.28,0.0008,1516.224,1.7329,11.7718,6.1664,2627.46457,0.589965197,0.782
1.31,1,131,1.47,94.25,0.0006,1251,11,20.11,398.3,,1.31,1,131,10.327,0.0006,1529.699,1.75,10.7909,6.292,2676.97325,0.580046404,0.7786
1.32,1,132,3.68,94.55,0.0002,1282,11,20.1,391.2,,1.32,1,132,10.548,0.0002,1555.523,1.715,10.7909,6.1422,2667.721945,0.600348028,0.7752
1.33,1,133,3.7,999,0,1245,11,20.1,382.2,,1.33,1,133,10.55,0,108.5101,1.7568,10.7909,6.2189,190.6305437,0.576102088,0.7707
1.34,1,134,3.57,999,0,1264,11,20.1,367.9,,1.34,1,134,10.537,0,108.3764,1.7352,10.7909,6.0852,188.0547293,0.58863109,0.765
1.35,1,135,3.26,999,0,1379,10,20.11,345.5,,1.35,1,135,10.506,0,108.0575,1.6121,9.8099,6.0089,174.1994958,0.660034803,0.7606
1.36,1,136,3.16,999,0,1359,10,20.1,306.5,,1.36,1,136,10.496,0,107.9547,1.6325,9.8099,5.5948,176.2360478,0.648201856,0.76
1.37,1,137,2.82,999,0,1248,10,20.11,250.3,,1.37,1,137,10.462,0,107.605,1.7534,9.8099,4.9368,188.674607,0.578074246,0.7695
1.38,1,138,2.97,999,0,1218,9,20.1,189.5,,1.38,1,138,10.477,0,107.7592,1.7884,8.8289,3.9266,192.7165533,0.557772622,0.7775
1.39,1,139,3.05,999,0,1252,7,20.11,141.4,,1.39,1,139,10.485,0,107.8415,1.7488,6.8669,21.6958,188.5932152,0.580742459,0.7879
